Please Tell Me,The Housemaid,The Ritual,The Inmate,The Serpent & The Wings of Night,The Ashes & The Star Cursed King,Court of Ravens and Ruin,Dopamine Detox,Don't Believe Everything You Think,The Art of Letting Go,CS_Logit,CS_X,CS_PCA
0,0,0,0,1,0,0,0,1,1,1.4216586835454135,1.5628112384419528,1.025488884776961
0,0,0,0,1,0,0,1,0,0,0.9717653397709541,1.0952572397087341,0.7527663913031699
0,0,0,0,1,0,0,1,0,1,1.3757710768895186,1.504977521789894,1.09106587725669
0,0,0,0,1,0,0,1,1,0,1.4892862009479706,1.582125355054036,1.121264131557184
0,0,0,0,1,0,0,1,1,1,1.7545239898681708,1.8524162431226567,1.3671016148760775
0,0,0,0,1,0,1,0,0,0,0.7851128741432122,0.9258960015441967,0.9572259305607095
0,0,0,0,1,0,1,0,0,1,1.2547753153308523,1.4320874984403533,1.2573355652110791
0,0,0,0,1,0,1,0,1,0,1.3780711279499558,1.5363267992671974,1.2774585488342027
0,0,0,0,1,0,1,0,1,1,1.666472432158117,1.826697308313886,1.502231574500452
0,0,0,0,1,0,1,1,0,0,1.343085647895741,1.4855700989818494,1.3327346390546564
0,0,0,0,1,0,1,1,0,1,1.636516848189756,1.7849982738058265,1.5438435647737658
0,0,0,0,1,0,1,1,1,0,1.724837353498236,1.8438299564217875,1.5598357022138678
0,0,0,0,1,0,1,1,1,1,1.9379040172840614,2.0591236003158757,1.729322528190585
0,0,0,0,1,1,0,0,0,0,0.5172881881575551,0.4576682424361344,0.5790627466093886
0,0,0,0,1,1,0,0,0,1,1.097230094460269,1.236485405475067,0.9789411176417627
0,0,0,0,1,1,0,0,1,0,1.2367907318159654,1.389769735940002,1.015342309909593
0,0,0,0,1,1,0,0,1,1,1.568225173496642,1.722660439839438,1.2892416315431503
0,0,0,0,1,1,0,1,0,0,1.1938083097948975,1.3343203843069973,1.0872863862382123
0,0,0,0,1,1,0,1,0,1,1.5286397670944882,1.676112103374049,1.339019013531534
0,0,0,0,1,1,0,1,1,0,1.6268569188435966,1.755168131258854,1.3653423966706708
0,0,0,0,1,1,0,1,1,1,1.8609674638825178,1.9876916627104624,1.5612230446281297
0,0,0,0,1,1,1,0,0,0,1.043982432182024,1.15112687869985,1.2403186649714983
0,0,0,0,1,1,1,0,0,1,1.4244380850848015,1.5906969250514011,1.4731453287260579
0,0,0,0,1,1,1,0,1,0,1.529417026145072,1.6935912392735823,1.4909447122329158
0,0,0,0,1,1,1,0,1,1,1.7823466679333104,1.9514426710881492,1.6757096651862784
0,0,0,0,1,1,1,1,0,0,1.5012709141039478,1.6536263790668944,1.535104191477355
0,0,0,0,1,1,1,1,0,1,1.75645440586478,1.916039806624465,1.708460498849826
0,0,0,0,1,1,1,1,1,0,1.8357692592426809,1.976624295126833,1.7244983327502232
0,0,0,0,1,1,1,1,1,1,2.0277597492925206,2.168631784681708,1.869001867378079
0,0,0,1,0,0,0,0,0,0,0.5825061849879086,0.683680564661074,0.33700176249043123
0,0,0,1,0,0,0,0,0,1,1.142955153170558,1.2719167485348324,0.8111925713485025
0,0,0,1,0,0,0,0,1,0,1.284587527445599,1.4039739551326231,0.860361149608009
0,0,0,1,0,0,0,0,1,1,1.6033953891194486,1.7175070117684925,1.1685199901595624
0,0,0,1,0,0,0,1,0,0,1.2331842368966768,1.3369099521403174,0.9390847969680556
0,0,0,1,0,0,0,1,0,1,1.5618634317987508,1.6659804304913945,1.2238279302391926
