book_i,book_j,title_i,title_j,price_increase_avg_plain_logit,rel_price_increase_avg_plain_logit,price_increase_avg_mlogit_attributes,rel_price_increase_avg_mlogit_attributes,price_increase_avg_mlogit_texts,rel_price_increase_avg_mlogit_texts
3,8,The Ritual,Dopamine Detox,2.7088568707380603,3.062480640981191,1.4991589340017413,1.6398237905906,2.2471049899967426,2.4793370564394457
3,9,The Ritual,Don't Believe Everything You Think,2.714608634069222,3.0693213735192626,1.6893123767391387,1.8604774431318472,2.2637861119609823,2.5036347926063907
3,10,The Ritual,The Art of Letting Go,2.130500769393734,2.4214452515899265,1.5741810944486971,1.7522882764242298,1.8422574582173112,2.06144887637838
4,1,The Inmate,Please Tell Me,7.748596966110291,8.310660341246233,8.341182293509348,8.788780601136315,8.696578221454537,9.16483226903193
4,2,The Inmate,The Housemaid,6.245918825258379,6.783782614127187,6.485456457550583,6.936706059917885,6.807822155593016,7.280322487228119
4,3,The Inmate,The Ritual,3.833941225613735,4.30610504759128,4.349533649817957,4.762431413485723,4.057482994342102,4.506724327333322
4,5,The Inmate,The Serpent & The Wings of Night,4.232313693086539,4.718652358491104,4.66822889947251,5.107522396618036,4.499248972283283,4.9474220990446955
4,6,The Inmate,The Ashes & The Star Cursed King,3.4794040413188583,3.9399774673873122,3.8728034242988585,4.274229438733945,3.63930562934501,4.071584977814724
4,7,The Inmate,Court of Ravens and Ruin,4.066813948396103,4.546136852050386,4.1775157849859355,4.608043441666476,4.187915471229644,4.607766410791347
4,8,The Inmate,Dopamine Detox,4.469007520815026,4.961857645354762,4.046844091111126,4.347835059429839,4.062562077107977,4.357295951433504
4,9,The Inmate,Don't Believe Everything You Think,4.4732646811782,4.966942073533964,4.157072637971133,4.515540442347154,4.165302097126187,4.482765403589239
4,10,The Inmate,The Art of Letting Go,3.8285939966573252,4.301536408059392,3.7050390545144083,4.100652451092501,3.6638389142898475,4.03934374537439
5,1,The Serpent & The Wings of Night,Please Tell Me,5.993859937757463,6.62560799962546,6.594052012500583,7.139507105126986,6.753164126333807,7.3419449151672085
5,2,The Serpent & The Wings of Night,The Housemaid,4.656925896970442,5.17916515675938,4.908499352625,5.358973155565905,5.388022725286376,5.895155864527868
5,3,The Serpent & The Wings of Night,The Ritual,2.482500410336698,2.8115970008688596,3.580823728963523,3.949970074617881,2.7583574137592137,3.0848105301373385
5,4,The Serpent & The Wings of Night,The Inmate,4.228687287081776,4.714143839725793,4.6611913760540205,5.098758386678903,4.491839023004005,4.937946445457819
5,6,The Serpent & The Wings of Night,The Ashes & The Star Cursed King,2.149741528145846,2.4471401588837427,3.187055598096549,3.5343030667196684,2.5313367104479525,2.8432095042704497
5,7,The Serpent & The Wings of Night,Court of Ravens and Ruin,2.700027996239882,3.0495079539343384,2.665696061823887,2.963554825110537,3.2098203663080866,3.5630769072646395
5,8,The Serpent & The Wings of Night,Dopamine Detox,3.0531482017906697,3.43443809918057,2.1005976475557233,2.2933011522110136,2.098478792009402,2.294942291914326
5,9,The Serpent & The Wings of Night,Don't Believe Everything You Think,3.0624770774495857,3.4449719074474694,2.2969056940203387,2.5275480250601667,2.1183221425231338,2.322563596550409
5,10,The Serpent & The Wings of Night,The Art of Letting Go,2.4724252419780726,2.8006701905503473,2.0554921907777413,2.289544986406644,1.8604938659611392,2.070911145092058
6,1,The Ashes & The Star Cursed King,Please Tell Me,5.1510737526124615,5.810289094056531,5.852855323318707,6.416501738283808,5.539390200717634,6.1649144639091435
6,2,The Ashes & The Star Cursed King,The Housemaid,3.882908269272896,4.391482088230969,3.984322949811528,4.393476455590706,4.352353074317811,4.854590444416251
6,3,The Ashes & The Star Cursed King,The Ritual,1.810012111632176,2.0652222365141637,3.2845626712144664,3.637462526226798,1.9979472344500024,2.252952157080923
